Name,Street,Postal,Locality,Region,Phone,Mobile,Fax,Website,Products,Service,Keyword,Facilities,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL
O2 Broadband and Telecommunication - Cribbs Causeway,Cribbs Causeway ,BS34 5DG,Bristol ,City Of Bristol England,0117 959 4628,NA,NA,www.o2.co.uk,"Telecommunication Services, Data Mobile","Telecommunication Services, Data Mobile","Telecommunication Services, Data Mobile","Telecommunication Services, Data Mobile",NA,09:30 - 21:00,09:30 - 21:00,09:00 - 20:00,11:00 - 17:00,09:30 - 20:00,09:30 - 20:00,09:30 - 20:00,https://api.scraperapi.com/?url=https%3A%2F%2Fbristol.cylex-uk.co.uk%2Fcompany%2Fo2-broadband-and-telecommunication---cribbs-causeway-16577283.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
RBS The Royal Bank of Scotland MUNLOCHY,"Bank House, 44 Millbank Road ",IV8 8NL,Munlochy ,Highland Scotland,01463 811811,NA,NA,personal.rbs.co.uk/personal.html,NA,"Bank, Travel, Credit Card","Bank, Travel, Credit Card","Bank, Travel, Credit Card",NA,09:30 - 13:00,Closed,Closed,Closed,Closed,09:30 - 13:00,Closed,https://api.scraperapi.com/?url=https%3A%2F%2Fmunlochy.cylex-uk.co.uk%2Fcompany%2Frbs-the-royal-bank-of-scotland-munlochy-17269583.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Howdens  - Chatham,"Unit 12, Lordswood Industrial Estate, ",ME5 8UD,Chatham ,Kent England,01634 412400,01634 865283,NA,https://www.howdens.com/find-a-depot/chatham,"Granite Worktops, Quartz Worktops, Kitchen Units, Splashbacks, Kitchen Remodellers, Kitchen Sinks, Kitchen Taps, Laminate Flooring, Vinyl Flooring, Engineered Wood Flooring, Door Suppliers, Quickstep, Sink Taps, Hardware Fixing, The Nest, Tools Accessories, Tp Link","Granite Worktops, Quartz Worktops, Kitchen Units, Splashbacks, Kitchen Remodellers, Kitchen Sinks, Kitchen Taps, Laminate Flooring, Vinyl Flooring, Engineered Wood Flooring, Door Suppliers, Quickstep, Sink Taps, Hardware Fixing, The Nest, Tools Accessories, Tp Link","Granite Worktops, Quartz Worktops, Kitchen Units, Splashbacks, Kitchen Remodellers, Kitchen Sinks, Kitchen Taps, Laminate Flooring, Vinyl Flooring, Engineered Wood Flooring, Door Suppliers, Quickstep, Sink Taps, Hardware Fixing, The Nest, Tools Accessories, Tp Link",NA,"Granite Worktops, Quartz Worktops, Kitchen Units, Splashbacks, Kitchen Remodellers, Kitchen Sinks, Kitchen Taps, Laminate Flooring, Vinyl Flooring, Engineered Wood Flooring, Door Suppliers, Quickstep, Sink Taps, Hardware Fixing, The Nest, Tools Accessories, Tp Link",08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,Closed,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,https://api.scraperapi.com/?url=https%3A%2F%2Fchatham.cylex-uk.co.uk%2Fcompany%2Fhowdens----chatham-18895022.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Harvey Mclean Ltd.,5 Old Bridge Road ,KA8 9SX,Ayr ,South Ayrshire Scotland,01292 283595,01292 283045,NA,harveymclean.co.uk,"Education, Designers, Joinery Manufacturers, Shopfitters, Manufacture of Carpentry and Joinery, Street, Arts and Entertainment, Colleges & Universities, Luxury Kitchens, Gay Bar, Community Organisations, Fit out Contractors, Art Technology, Bar Manufacturers, Hotel Fit out, Restaurant Fit out, Bespoke Bars, Bar Fit, Bar Fit out","Education, Designers, Joinery Manufacturers, Shopfitters, Manufacture of Carpentry and Joinery, Street, Arts and Entertainment, Colleges & Universities, Luxury Kitchens, Gay Bar, Community Organisations, Fit out Contractors, Art Technology, Bar Manufacturers, Hotel Fit out, Restaurant Fit out, Bespoke Bars, Bar Fit, Bar Fit out","Education, Designers, Joinery Manufacturers, Shopfitters, Manufacture of Carpentry and Joinery, Street, Arts and Entertainment, Colleges & Universities, Luxury Kitchens, Gay Bar, Community Organisations, Fit out Contractors, Art Technology, Bar Manufacturers, Hotel Fit out, Restaurant Fit out, Bespoke Bars, Bar Fit, Bar Fit out",NA,"Education, Designers, Joinery Manufacturers, Shopfitters, Manufacture of Carpentry and Joinery, Street, Arts and Entertainment, Colleges & Universities, Luxury Kitchens, Gay Bar, Community Organisations, Fit out Contractors, Art Technology, Bar Manufacturers, Hotel Fit out, Restaurant Fit out, Bespoke Bars, Bar Fit, Bar Fit out",09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://api.scraperapi.com/?url=https%3A%2F%2Fayr-south-ayrshire.cylex-uk.co.uk%2Fcompany%2Fharvey-mclean-ltd--17758190.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Millburn Takeaway,32 Millburn Road ,IV2 3TR,Inverness ,Highland Scotland,01463 713222,NA,NA,www.just-eat.co.uk/restaurants-millburn-chinese-takeaway-inverness/menu,NA,NA,"Takeaway, Grocery",NA,NA,NA,NA,16:30 - 23:00,16:30 - 23:00,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Finverness.cylex-uk.co.uk%2Fcompany%2Fmillburn-takeaway-17065735.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
COLINTON FOODS LIMITED,Colinton ,IV6 7SA,Tore ,Highland Scotland,NA,NA,NA,,NA,NA,Takeaway,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Ftore.cylex-uk.co.uk%2Fcompany%2Fcolinton-foods-limited-24232343.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
SHAHJALAL (INVERNESS) LTD,"Unit 3B2, Raj Tandoori Smithton Industrial Estate ",IV2 7WL,Smithton ,Highland Scotland,NA,NA,NA,,NA,NA,Takeaway,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fsmithton.cylex-uk.co.uk%2Fcompany%2Fshahjalal--inverness--ltd-25053733.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Culloden Take-a-Way,KEPPOCH ROAD ,IV2 7LL,Culloden ,Highland Scotland,01463791019,0131 221 9595,NA,,NA,NA,Takeaway,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fculloden.cylex-uk.co.uk%2Fcompany%2Fculloden-take-a-way-17137543.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
GREEN HIGHLAND PROPERTIES LTD.,21 Hillpark Brae ,IV8 8PL,Munlochy ,Highland Scotland,NA,NA,NA,,NA,NA,"Estate Agents, Takeaway, Real Estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fmunlochy.cylex-uk.co.uk%2Fcompany%2Fgreen-highland-properties-ltd--24469065.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Deveron Fast Foods Limited,Achorn House 34 Millbank Road ,IV8 8ND,Munlochy ,Highland Scotland,NA,NA,NA,,NA,NA,"Takeaway, Takeaway Food Shops, Mobile Food Stands",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fmunlochy.cylex-uk.co.uk%2Fcompany%2Fdeveron-fast-foods-limited-22438907.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Magic Wok Takeaway,1 Barn Church Road ,IV2 7WB,Culloden ,Highland Scotland,01463 798866,NA,NA,,NA,NA,"Takeaway, Restaurants, Takeaway Food, Fast Food Restaurants, Takeaway & Fast Food",NA,NA,04:30 - 23:00,04:30 - 23:00,04:30 - 23:00,04:30 - 23:00,04:30 - 23:00,04:30 - 23:00,04:30 - 23:00,https://api.scraperapi.com/?url=https%3A%2F%2Fculloden.cylex-uk.co.uk%2Fcompany%2Fmagic-wok-takeaway-17134157.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Demon Catering Limited,"ACHORN HOUSE, 34 MILLBANK ROAD ",IV8 8ND,Munlochy ,Highland Scotland,NA,NA,NA,,NA,NA,"Takeaway, Takeaway Food Shops, Mobile Food Stands",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Fmunlochy.cylex-uk.co.uk%2Fcompany%2Fdemon-catering-limited-22436162.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Karls Kitchen Ltd,Avoch Road,IV10 8TU,Fortrose ,Highland Scotland,NA,NA,NA,,NA,NA,Takeaway,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Ffortrose.cylex-uk.co.uk%2Fcompany%2Fkarls-kitchen-ltd-22611068.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
RBS The Royal Bank of Scotland DINGWALL,High Street,IV15 9HF,Dingwall ,Highland Scotland,01349 862131,NA,NA,personal.rbs.co.uk/personal.html,NA,"Bank, Travel, Credit Card","Bank, Travel, Credit Card","Bank, Travel, Credit Card",NA,09:00 - 17:00,09:00 - 17:00,09:00 - 12:30,Closed,09:00 - 17:00,09:00 - 17:00,09:30 - 17:00,https://api.scraperapi.com/?url=https%3A%2F%2Fdingwall.cylex-uk.co.uk%2Fcompany%2Frbs-the-royal-bank-of-scotland-dingwall-17080688.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Gabi's Tandoori,1 Rose St ,IV9 8QH,Avoch ,Highland Scotland,01381 621000,NA,NA,,NA,NA,"Takeaway, Takeaway Food, Sandwich Shop, Indians",NA,NA,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,16:00 - 21:00,Closed,17:00 - 22:00,17:00 - 22:00,https://api.scraperapi.com/?url=https%3A%2F%2Favoch.cylex-uk.co.uk%2Fcompany%2Fgabi%2527s-tandoori-17964496.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Jasmine,37 High St ,IV9 8PT,Avoch ,Highland Scotland,01381 620866,NA,NA,,NA,NA,"Takeaway, Takeaway Food",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Favoch.cylex-uk.co.uk%2Fcompany%2Fjasmine-17035521.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Abrial Rozario,Rose Place ,IV9 8QH,Avoch ,Highland Scotland,01381 622265,01381 621000,01381 622265,,NA,NA,"Takeaway, Warehousing & Storage",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Favoch.cylex-uk.co.uk%2Fcompany%2Fabrial-rozario-19915348.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Clydesdale Bank PLC,"PARK HOUSE, HIGH STREET ",IV15 9HA,Dingwall ,Highland Scotland,01349 862292,01349 865407,NA,cbonline.co.uk,NA,"Bank, Private Banking, Business Banking","Bank, Private Banking, Business Banking",NA,NA,09:15 - 16:30,09:15 - 16:30,Closed,Closed,09:15 - 16:30,09:15 - 16:30,09:15 - 16:30,https://api.scraperapi.com/?url=https%3A%2F%2Fdingwall.cylex-uk.co.uk%2Fcompany%2Fclydesdale-bank-plc-17139280.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Post Office Limited,Dingwall,IV7 8LU,Jemimaville ,Highland Scotland,03457223344,NA,NA,www.postoffice.co.uk,"Post Office, Mail Delivery, Postal Service, Ink and Toner, International UK Mail Delivery","Post Office, Mail Delivery, Postal Service, Ink and Toner, International UK Mail Delivery","Post Office, Mail Delivery, Postal Service, Ink and Toner, International UK Mail Delivery","Post Office, Mail Delivery, Postal Service, Ink and Toner, International UK Mail Delivery",NA,11:00 - 16:00,Closed,Closed,Closed,11:00 - 16:00,Closed,Closed,https://api.scraperapi.com/?url=https%3A%2F%2Fjemimaville.cylex-uk.co.uk%2Fcompany%2Fpost-office-limited-17262467.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Invergordon P.O,96 High Street ,IV18 0DL,Invergordon ,Highland Scotland,01349 852209,NA,NA,,"Post Office, Letters, Special Delivery, Business Mail, Letter Delivery, Sending Mail, Postage, Package Delivery, Car Insurance, Travel Insurance, Postal Service, Mailing, Passport, Savings, Banking, Post, Credit Card, Postal Rates, Postal Tariffs, Annual, Foreign Currency Exchange, Instant Saver, Licence Applications","Post Office, Letters, Special Delivery, Business Mail, Letter Delivery, Sending Mail, Postage, Package Delivery, Car Insurance, Travel Insurance, Postal Service, Mailing, Passport, Savings, Banking, Post, Credit Card, Postal Rates, Postal Tariffs, Annual, Foreign Currency Exchange, Instant Saver, Licence Applications","Post Office, Letters, Special Delivery, Business Mail, Letter Delivery, Sending Mail, Postage, Package Delivery, Car Insurance, Travel Insurance, Postal Service, Mailing, Passport, Savings, Banking, Post, Credit Card, Postal Rates, Postal Tariffs, Annual, Foreign Currency Exchange, Instant Saver, Licence Applications",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Finvergordon.cylex-uk.co.uk%2Fcompany%2Finvergordon-p-o-17128301.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Clydesdale Bank PLC,64 HIGH STREET ,IV18 0DH,Invergordon ,Highland Scotland,01349 852228,01349 854169,NA,cbonline.co.uk,NA,"Bank, Private Banking, Business Banking","Bank, Private Banking, Business Banking",NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Finvergordon.cylex-uk.co.uk%2Fcompany%2Fclydesdale-bank-plc-17138100.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Post Office Limited,40 High Street ,IV15 9SN,Dingwall ,Highland Scotland,03457223344,NA,NA,www.postoffice.co.uk,NA,"Post Office, Mail Delivery, Current Account Servicing, National Express Tickets","Post Office, Mail Delivery, Current Account Servicing, National Express Tickets",NA,NA,07:30 - 21:00,07:30 - 21:00,07:30 - 21:00,08:00 - 21:00,07:30 - 21:00,07:30 - 21:00,07:30 - 21:00,https://api.scraperapi.com/?url=https%3A%2F%2Fdingwall.cylex-uk.co.uk%2Fcompany%2Fpost-office-limited-23688735.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Post Office Limited,83 High Street ,IV18 0AB,Invergordon ,Highland Scotland,01349 854135,NA,NA,www.postoffice.co.uk,NA,"Post Office, Mail Delivery, Current Account Servicing, Facilities for Hard of Hearing People, National Express Tickets","Post Office, Mail Delivery, Current Account Servicing, Facilities for Hard of Hearing People, National Express Tickets","Post Office, Mail Delivery, Current Account Servicing, Facilities for Hard of Hearing People, National Express Tickets",NA,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,08:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,https://api.scraperapi.com/?url=https%3A%2F%2Finvergordon.cylex-uk.co.uk%2Fcompany%2Fpost-office-limited-23688717.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Post Office Limited,Edderton Village ,IV19 1LA,Edderton ,Highland Scotland,03457223344,NA,NA,www.postoffice.co.uk,"Post Office, Mail Delivery, Postal Service, Ink and Toner, International UK Mail Delivery","Post Office, Mail Delivery, Postal Service, Ink and Toner, International UK Mail Delivery","Post Office, Mail Delivery, Postal Service, Ink and Toner, International UK Mail Delivery",NA,NA,Closed,Closed,Closed,Closed,Closed,Closed,10:00 - 12:00,https://api.scraperapi.com/?url=https%3A%2F%2Fedderton.cylex-uk.co.uk%2Fcompany%2Fpost-office-limited-17910692.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
RBS The Royal Bank of Scotland INVERGORDON,60 High Street ,IV18 0DH,Invergordon ,Highland Scotland,01349 852246,NA,NA,personal.rbs.co.uk/personal.html,NA,"Bank, Travel, Credit Card","Bank, Travel, Credit Card","Bank, Travel, Credit Card",NA,10:00 - 16:00,10:00 - 16:00,Closed,Closed,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,https://api.scraperapi.com/?url=https%3A%2F%2Finvergordon.cylex-uk.co.uk%2Fcompany%2Frbs-the-royal-bank-of-scotland-invergordon-17259792.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Tim Dearman Coach Hire,Inch Navie Lower ,IV17 0XL,Alness ,Highland Scotland,01349 883585,NA,NA,www.timdearmancoaches.co.uk,NA,"Holiday Insurance, Travel Insurance, coaches general advice, Coach Hire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Falness.cylex-uk.co.uk%2Fcompany%2Ftim-dearman-coach-hire-17175937.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
Post Office Limited,39 High Street ,IV17 0PT,Alness ,Highland Scotland,03457223344,NA,NA,www.postoffice.co.uk,NA,"Post Office, Mail Delivery, ATM 24hr, Current Account Servicing, National Express Tickets","Post Office, Mail Delivery, ATM 24hr, Current Account Servicing, National Express Tickets",NA,NA,09:00 - 17:30,09:00 - 17:30,09:00 - 12:30,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,https://api.scraperapi.com/?url=https%3A%2F%2Falness.cylex-uk.co.uk%2Fcompany%2Fpost-office-limited-23688716.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
RBS The Royal Bank of Scotland ATM,DALMORE ROAD ,IV17 0UY,Alness ,Highland Scotland,0800 121 129,NA,NA,personal.rbs.co.uk/personal.html,NA,"Bank, Travel, Credit Card","Bank, Travel, Credit Card","Bank, Travel, Credit Card",NA,NA,NA,NA,NA,NA,NA,NA,https://api.scraperapi.com/?url=https%3A%2F%2Falness.cylex-uk.co.uk%2Fcompany%2Frbs-the-royal-bank-of-scotland-atm-23676764.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
RBS The Royal Bank of Scotland ALNESS,53 High Street ,IV17 0SH,Alness ,Highland Scotland,01349 882209,NA,NA,personal.rbs.co.uk/personal.html,NA,"Bank, Travel, Credit Card","Bank, Travel, Credit Card","Bank, Travel, Credit Card",NA,09:00 - 17:00,09:00 - 17:00,09:00 - 12:30,Closed,09:00 - 17:00,09:00 - 17:00,09:30 - 17:00,https://api.scraperapi.com/?url=https%3A%2F%2Falness.cylex-uk.co.uk%2Fcompany%2Frbs-the-royal-bank-of-scotland-alness-17080453.html&api_key=adc3d866682a18dad67c04d3bcbc7f1c&scraper_sdk=python
