Name,Street,Postal,Locality,Region,Phone,Mobile,Fax,Website,Service,Keyword,Facilities,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday
ABS Burton ALDRIDGE,Unit 1 Northgate ,WS9 8TH,Aldridge ,West Midlands England,0151 357 1294,01922 455751,01922 454618,,NA,Wholesalers,NA,"Automotive,Auto Parts & Accessories,Truck Parts & Accessories",08:30 - 17:30,08:30 - 17:30,Closed,Closed,08:30 - 17:30,08:30 - 17:30,08:30 - 17:30
Battery solutions midlands ltd,"Unit 34, Empire Industrial Park ",WS9 8UY,Aldridge ,West Midlands England,01922 452909,NA,NA,www.batterysolutionsmidlands.com,"Battery Suppliers, Mobility Batteries, Golf Cart Battery, Lorry Batteries","Battery Suppliers, Mobility Batteries, Golf Cart Battery, Lorry Batteries",NA,"Industry & Manufacturing,Industrial Goods,Battery Suppliers & Services",08:15 - 16:00,08:15 - 16:00,Closed,Closed,08:15 - 16:00,08:15 - 16:00,08:15 - 16:00
JC PAYNE SPECIALIST SERVICES LIMITED,"Unit 2, Westgate ",WS9 8EX,Aldridge ,West Midlands England,01922 453333,01922 453475,0845 430 1133,www.jcpayne.com,"Auto Parts, Auto Accessories",NA,NA,"Automotive,Auto Repair,Garages",08:30 - 17:00,08:30 - 16:00,Closed,Closed,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00
Automotive Surplus Ltd,NORTHGATE ,WS9 8TH,Aldridge ,West Midlands England,01922 455284,NA,NA,www.surplusuk.com,NA,NA,NA,"Automotive,Auto Parts & Accessories",10:00 - 17:00,10:00 - 17:00,Closed,Closed,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00
C.B.MOTORCYCLES LIMITED,37 Northgate ,WS9 8QF,Aldridge ,West Midlands England,NA,NA,NA,,NA,NA,NA,"Automotive,Auto Parts & Accessories",NA,NA,NA,NA,NA,NA,NA
ALDRIDGE TYRE SAVE LTD,"Unit 11, Merchants Way ",WS9 8SW,Aldridge ,West Midlands England,01922 456565,NA,NA,beta.companieshouse.gov.uk/company/08635979,NA,NA,NA,"Automotive,Auto Parts & Accessories",08:00 - 17:00,08:00 - 17:00,08:00 - 13:00,Closed,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00
G.G. Wilkinson Building Limited,6 HIGH STREET ,LN13 9DX,Alford ,Lincolnshire England,NA,NA,NA,,NA,"Estate Agents, Real Estate",NA,"Real Estate,Real Estate Services,Estate Agents",NA,NA,NA,NA,NA,NA,NA
Brown Bros Group,"UNIT 2, REDHOUSE INDUSTRIAL ESTATE, MIDDLEMORE LANE ",WS9 8DL,Aldridge ,West Midlands England,01922 451241,01922 455527,NA,,NA,NA,NA,"Automotive,Auto Parts & Accessories",NA,NA,NA,NA,NA,NA,NA
Karparts (Aldridge),Unit 1 Northgate ,WS9 8TH,Aldridge ,West Midlands England,01922 458022,NA,NA,www.karparts.co.uk,"Automotive, Aircraft, Boats, Battery Suppliers, Car Engine Oil","Automotive, Aircraft, Boats, Battery Suppliers, Car Engine Oil",NA,"Automotive,Auto Repair,Garages",08:00 - 18:00,08:00 - 18:00,08:30 - 17:00,09:00 - 16:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00
N.r Burton Builders,"Unit 1A, Beechings Way ",LN13 9JE,Alford ,Lincolnshire England,01507 466076,07932 060254,NA,www.nrburton-builder.co.uk,"Property Developers, New Builds, Conversions, Ceiling Skimming, Farm Buildings, Building Requirements","Property Developers, New Builds, Conversions, Ceiling Skimming, Farm Buildings, Building Requirements",NA,"Real Estate,Real Estate Services,Real Estate Developers",08:00 - 17:00,08:00 - 17:00,09:00 - 12:30,Closed,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00
Alford Manor House,WEST STREET ,LN13 9HT,Alford ,Lincolnshire England,01507 463073,07919 322230,NA,,NA,"Tourist Attractions, Historic Buildings, Historical Places, Caring Premises, Museum, Tea Rooms, Tea House, Art Room, Exhibition Galleries, Exhibition Room, The Wedding House",NA,"Food & Beverages,Cafes & Coffee Shops",10:00 - 16:00,10:00 - 16:00,Closed,Closed,Closed,10:00 - 16:00,10:00 - 16:00
Alford Methodist Church Centre,West Street ,LN13 9DU,Alford ,Lincolnshire England,01507 462936,NA,NA,eastlincolnshiremethodistcircuit.org.uk,NA,"Church, House of Prayer, Chapel, Places of Worship, Religious Organisations, Religion, Faith, Prayer, Praying, Real Estate Investment, Sanctuary, Church Building, Coast, Just for Fun, Methodist, Circuits",NA,"Community & Government,Churches & Temples",09:00 - 17:00,09:00 - 17:00,09:00 - 14:00,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Yorkshire Building Society,5 High Street ,LN13 9DX,Alford ,Lincolnshire England,01507 462882,NA,NA,www.ybs.co.uk/index.html,"Financial Services, Financial Planning Tool","Financial Services, Financial Planning Tool","Financial Services, Financial Planning Tool","Finance,Financial Services,Building Societies",09:00 - 17:00,09:00 - 17:00,09:30 - 12:00,Closed,09:00 - 17:00,09:00 - 17:00,09:30 - 17:00
James Cycles,21 West St ,LN13 9DG,Alford ,Lincolnshire England,01507 463329,NA,NA,,"Cycle Shops, Bike Shop, Cycles, Cycling Accessories, Bicycle Sales, Bike Accessories, Cycle Sales, Cycle Shops & Repairs, Cycle Accessories, BMX, Bicycle Shops, Tandem, Racing Bikes, Leading Brands, Cycle Maintenance, Cycle Spares, Second Hand Bicycles, Bike Parts, Bike Components, Cycle Components, Cheap Motorcycles, Cycle Repairs, Bike Spares, Motorcycle Shops, Electronics, Department Store, Professionals, Spares, James Cycles, Light Weight Specialist, Sales & Repairs, The Falcon","Cycle Shops, Bike Shop, Cycles, Cycling Accessories, Bicycle Sales, Bike Accessories, Cycle Sales, Cycle Shops & Repairs, Cycle Accessories, BMX, Bicycle Shops, Tandem, Racing Bikes, Leading Brands, Cycle Maintenance, Cycle Spares, Second Hand Bicycles, Bike Parts, Bike Components, Cycle Components, Cheap Motorcycles, Cycle Repairs, Bike Spares, Motorcycle Shops, Electronics, Department Store, Professionals, Spares, James Cycles, Light Weight Specialist, Sales & Repairs, The Falcon",NA,"Sports & Recreation,Sporting Goods,Bicycle Shops",09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,10:00 - 16:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Rm Construction,"Granary House, 5, The Maltings ",LN13 9TS,Alford ,Lincolnshire England,01507 462100,01507 462788,NA,,"Engineers, Structural Design, Structural Engineers, Structural, Structural Systems, Engineering Structures, Steel Framed Buildings","Engineers, Structural Design, Structural Engineers, Structural, Structural Systems, Engineering Structures, Steel Framed Buildings",NA,"Construction & Contractors,Architectural Services,Architects",NA,NA,NA,NA,NA,NA,NA
Arthur Wood & Sons,"Unit 6, Hardwick Court, Beechings Way Industrial Estate ",LN13 9JE,Alford ,Lincolnshire England,01507 462465,07957 622594,01507 463977,www.arthurwoodandsons.com,"Construction Management, Joinery",NA,NA,"Construction & Contractors,Home Improvement,Loft Conversions",08:00 - 05:00,08:00 - 05:00,Closed,Closed,08:00 - 05:00,08:00 - 05:00,08:00 - 05:00
Coast & Country,White House Willoughby Rd ,LN13 9AT,Alford ,Lincolnshire England,01507 462960,NA,NA,,"Fascias and Soffits, Carports","Fascias and Soffits, Carports",NA,"Shopping & Retail,Retail Shops,DIY Stores",NA,NA,NA,NA,NA,NA,NA
Alford & District Civic Trust Ltd,"THE MANOR HO, WEST ST ",LN13 9HT,Alford ,Lincolnshire England,01507 463073,0161 748 1942,NA,,"Tourist Attractions, Gallery, Fine Art Gallery, Historic Buildings, Historical Places, Art Galleries and Dealers, Leisure, Sports, Art Museum","Tourist Attractions, Gallery, Fine Art Gallery, Historic Buildings, Historical Places, Art Galleries and Dealers, Leisure, Sports, Art Museum",NA,"Arts, Entertainment & Nightlife,Visual Arts,Art Galleries",NA,NA,NA,NA,NA,NA,NA
Travis Perkins,Beechings Way Indust Est ,LN13 9JE,Alford ,Lincolnshire England,01507 462741,01507 462746,NA,www.travisperkins.co.uk/branch/7516?utm_source=cy&utm_medium=organic&utm_campaign=lpm_cy_7516,NA,Tool Rental,NA,"Construction & Contractors,Building Materials,Veneer & Plywood",07:30 - 17:00,07:30 - 17:00,08:00 - 12:00,Closed,07:30 - 17:00,07:30 - 17:00,07:30 - 17:00
Jackson Building Centres,Beechings Way Ind Est Station Rd ,LN13 9JA,Alford ,Lincolnshire England,01507 464320,01507 464339,NA,www.buildbase.co.uk,NA,"Building Supplies, Builders' Merchants",NA,"Construction & Contractors,Plumbers",07:00 - 17:00,07:00 - 17:00,08:00 - 12:00,Closed,07:00 - 17:00,07:00 - 17:00,07:00 - 17:00
BUILDBASE ALFORD,"Beechings Way Industrial Estate, ",LN13 9JA,Alford ,Lincolnshire England,+44 1507 464320,NA,NA,www.buildbase.co.uk,"Builders' Merchants, Plasterboard, Kitchen Suppliers, Tool Rental, Cement, Patios, Bricks, Bretts","Builders' Merchants, Plasterboard, Kitchen Suppliers, Tool Rental, Cement, Patios, Bricks, Bretts",NA,"Home & Garden,Furniture,Kitchen Furniture & Worktops",07:00 - 17:00,07:00 - 17:00,08:00 - 12:00,Closed,07:00 - 17:00,07:00 - 17:00,07:00 - 17:00
HIGHLINE ROADMARKING EQUIPMENT LTD,"Unit 4, Hardwick Court Beechings Way ",LN13 9BU,Alford ,Lincolnshire England,NA,NA,NA,,NA,NA,NA,"Construction & Contractors,Builders",NA,NA,NA,NA,NA,NA,NA
Hydrogrit Ltd,"5 Hardwick Court, Beechings Way ",LN13 9BU,Alford ,Lincolnshire England,01507 239015,01507 462093,07939 138216,www.hydrogrit.com,"Traffic Management, Grit Blasting, Line Painting, Line Marking Removal Service","Traffic Management, Grit Blasting, Line Painting, Line Marking Removal Service",NA,"Construction & Contractors,Construction Management",07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00
Land Drainage Services Ltd,20 COLES AVENUE ,LN13 0AH,Alford ,Lincolnshire England,01507 463375,01507 463375,NA,,Water Authority,Water Authority,NA,"Utilities,Water Supply,Water Companies",NA,NA,NA,NA,NA,NA,NA
Godalming District Scouts,5 LONG GORE ,GU7 3TE,Godalming ,Surrey England,01483 429213,NA,NA,,NA,"Youth Organisations, Youth Centre, Centres, Voluntary, Youth Organisations & Centres",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
5th Guildford Scout Group,"ONSLOW VILLAGE RECREATION GROUND, POWELL CLOSE ",GU2 7QT,Guildford ,Surrey England,01483 451580,NA,NA,,NA,"Youth Organisations, Youth & Community Groups, Youth Centre, Centres, Voluntary, Organisations, Youth, Youth Organisations & Centres",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
Fish,KINGS COLLEGE,GU2 8DU,Guildford ,Surrey England,01483 444764,NA,NA,www.guildford.gov.uk/fish,"Youth Organisations, Youth Club, Youth Groups, Childcare Assistance, Education, Child Development, Emotional Development, Social Development, Help Children, Volunteering, Youth, Child, Young People, Holiday Schemes, Job Opportunities, Job Vacancies, Children's Activities, Teenagers, Volunteer Work, Voluntary Work, Leisure and Culture, Adolescent, Holiday Playschemes, Activities for Children, Situations Vacant, Council Vacancies, Staff Vacancies, Local Authority Vacancies, School Holiday Playschemes, School Holiday Schemes, Young People Organisation, Young Peoples Activities","Youth Organisations, Youth Club, Youth Groups, Childcare Assistance, Education, Child Development, Emotional Development, Social Development, Help Children, Volunteering, Youth, Child, Young People, Holiday Schemes, Job Opportunities, Job Vacancies, Children's Activities, Teenagers, Volunteer Work, Voluntary Work, Leisure and Culture, Adolescent, Holiday Playschemes, Activities for Children, Situations Vacant, Council Vacancies, Staff Vacancies, Local Authority Vacancies, School Holiday Playschemes, School Holiday Schemes, Young People Organisation, Young Peoples Activities",NA,"Community & Government,Childcare,Day Nurseries & Creches",NA,NA,NA,NA,NA,NA,NA
Plantation,12B MARKET STREET ,GU1 4LB,Guildford ,Surrey England,01483 888122,01483 888110,NA,,NA,"Youth Organisations, Youth Centre, Youth Groups, Community Groups, Family Services, Centres, Voluntary, Social Centre, Community Centre, Youth Organisations & Centres",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
Bellfields Youth Club,48 Hazel Ave ,GU1 1NS,Guildford ,Surrey England,01483 570842,NA,NA,disability-challengers.org/challengers-transformation-bellfields-youth-centre,NA,"Youth Organisations, Youth Centre, Centres, Youth Organisations & Centres",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
YMCA GUILDFORD,Bridge Street ,GU1 4SB,Guildford ,Surrey England,01483 532555,NA,NA,www.ymcadlg.org/where-we-work/guildford,"Charities, Charity Organizations, Hotel, Guest House, Bed and Breakfast, Housing","Charities, Charity Organizations, Hotel, Guest House, Bed and Breakfast, Housing",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
Air Training Corps,"Guildford Air Cadets, Stocton Close ",GU1 1HR,Guildford ,Surrey England,01483 567548,NA,NA,www.guildfordaircadets.org,NA,"Youth Organisations, Youth Centre, Centres, Voluntary, Other, Non-Profit Organisation, Youth Organisations & Centres",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
The Scout Association,NIGHTINGALE ROAD ,GU1 1ER,Guildford ,Surrey England,01483 506643,07552 757996,NA,scouts.org.uk,NA,"Youth Organisations, Centres, Voluntary, Youth Organisations & Centres",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",15:30 - 19:00,09:00 - 17:00,09:00 - 12:30,Closed,Closed,Closed,Closed
The Source,"Suite 3 Wesley Chambers , Queens Road ",GU11 3JD,Aldershot ,Hampshire England,01252 333330,01252 333342,NA,www.thesourceforyou.co.uk/community/the-source-young-people-s-charity-13224/home,"Personal Services, Non-Profit Organisation, Business Support Services, Recreation & Fitness, Outdoors, Youth Support Charity","Personal Services, Non-Profit Organisation, Business Support Services, Recreation & Fitness, Outdoors, Youth Support Charity",NA,"Business & Professional Services,Personal Services",09:30 - 17:00,09:00 - 12:00,Closed,Closed,09:30 - 17:00,09:30 - 17:00,09:30 - 17:00
D.e Barnes,Tudor Lodge/Thurlby Rd,LN13 9JJ,Alford ,Lincolnshire England,01507 466250,01507 466250,NA,,NA,NA,NA,"Construction & Contractors,Builders",NA,NA,NA,NA,NA,NA,NA
Guildford Youth & Community Centre,LEAPALE LANE ,GU1 4LY,Guildford ,Surrey England,01483 575349,NA,NA,,NA,"Youth Organisations, Youth Centre, Community Development, Voluntary, Youth Organisations & Centres",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",08:30 - 17:00,08:30 - 17:00,Closed,Closed,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00
Army Cadet Force,ORDNANCE RD ,GU11 2AE,Aldershot ,Hampshire England,01252 310207,NA,NA,,NA,NA,NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
Step By Step Partnership Ltd,36 Crimea Road ,GU11 1UD,Aldershot ,Hampshire England,01252 346100,07843 261349,NA,www.stepbystep.org.uk,NA,"Residential Care, Social Services, Youth Organisations, Non-Profit Organisation, Housing & Homeless Shelter",NA,"Health & Medicine,Residential Care,Residential, Retirement & Care Homes",09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Emmaus Daylight Project,"ALDERSHOT INSTITUTE & SOCIAL CLUB, STATION ROAD ",GU11 1BA,Aldershot ,Hampshire England,01252 337386,NA,NA,,NA,"Youth Organisations, Youth Centre, Centres, Voluntary, Youth Organisations & Centres",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
Studrock Industrial Boilers,"Unit 78 Empire Industrial Park, Brickyard Road ",WS9 8UY,Aldridge ,West Midlands England,0844 692 3882,0870 330 6184,0844 692 3881,www.studrockindboilers.co.uk,"Commercial Equipment Repair, Industrial Equipment Repair, Repair Equipment","Commercial Equipment Repair, Industrial Equipment Repair, Repair Equipment",NA,"Industry & Manufacturing,Industrial Goods Repair,Industrial & Commercial Equipment Repair",NA,NA,NA,NA,NA,NA,NA
Forge Auto Engineers Walsall Aldridge,"35, Empire Ind Est, Brickyard Rd ",WS9 8UY,Aldridge ,West Midlands England,01922 278787,07779 616041,NA,,"Mobile Mechanic, Rolling Road","Mobile Mechanic, Rolling Road","Mobile Mechanic, Rolling Road","Automotive,Auto Repair,Car Body Repair & Painting",08:00 - 18:00,08:00 - 18:00,Closed,Closed,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00
Valen Fittings Ltd,"Valen House, Westgate",WS9 8DG,Aldridge ,West Midlands England,01922 454913,NA,NA,valenfittings.co.uk,NA,"Metal Products Manufacturer, Manufacture of Metal Products, Steel Industry, Butt Weld, Steel Stockholders, Steel Stockholding, Stainless Steel, Pipe, Manufacturers, Tube, Duplex, Petrochemicals, Fast Delivery, Fast Track, Petrochemical Industry, Fast Turnaround, Butt Welded, Valen Fittings, Delivery Specialists",NA,"Industry & Manufacturing,Metals,Iron & Steel Production",09:00 - 17:00,09:00 - 16:30,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
F S Lifting Services Limited,C/O EDWARDS CHARTERED ACCOUNTANTS 34 HIGH STREET ,WS9 8LZ,Aldridge ,West Midlands England,NA,NA,NA,,NA,"Industrial Machinery, Wholesale Equipment",NA,"Construction & Contractors,Engineering,Engineers' Equipment & Supplies",NA,NA,NA,NA,NA,NA,NA
Blackwater Valley District Scout Activity Centre,1 FORGE LANE ,GU11 2PG,Aldershot ,Hampshire England,01252 311949,NA,NA,www.bvscouts.org.uk,NA,"Youth Organisations, Youth Centre, Centres, Voluntary, Youth Organisations & Centres",NA,"Community & Government,Organisations, Associations & Clubs,Youth Organisations, Centres & Clubs",NA,NA,NA,NA,NA,NA,NA
