Name,Official Name,Company Number,Jurisdiction,Previous Names,SIC code,Incorporation Date,Company Type,Street,Postal,Locality,Region,Phone,Email2,Mobile,Fax,Website,Email,Products,Service,Keyword,Brands,Service Areas,Contact Person,Contact Phone,Facilities, All Categories present in,Payment Methods,Social Media,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL
MOORE TURNER CONSULTANTS LLP,MOORE TURNER CONSULTANTS LLP,OC397388,England/Wales,NA,NA,7-Jan-15,Limited Liability Partnership,4 Maes Y Gorof ,SA9 1DA,Ystradgynlais ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/moore-turner-consultants-llp-24786452.html
Cwrt Enfys Care Home,NA,NA,NA,NA,NA,NA,NA,Gorof Road ,SA9 1DS,Ystradgynlais ,Neath Port Talbot Wales,01639 841265,NA,NA,NA,www.hallmarkcarehomes.co.uk,NA,NA,"Residential Care ,  Nursing Care ,  Dementia Care ,  Short Stays ,  Cafe ,  Hair salon ,  Award-winning Gardens, Nursing Care","Residential Care Homes, Dementia Care, Residential Care, Home Care Services, Cafe, Caring Premises, Short Stay, Award-Winning Gardens",NA,NA,,NA,NA,"Health & Medicine Ystradgynlais,Residential Care Ystradgynlais,Best Residential, Retirement & Care Homes Ystradgynlais,Health & Medicine,Residential Care,Residential, Retirement & Care Homes",,https://twitter.com/intent/user?screen_name=HallmarkRugby&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fcwrt-enfys-care-home-13791087.html,Hair Salon,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/cwrt-enfys-care-home-13791087.html
Something Special,NA,NA,NA,NA,NA,NA,NA,42 RHESTR FAWR ,SA9 1LD,Ystradgynlais ,Neath Port Talbot Wales,01639 842319,NA,01639 842319,NA,,NA,"Art Supplies, Art",NA,"Craft Supplies, Crafts, Craft Materials, Craft Shops, Art Materials, Fine Art Materials, Art & Craft Materials, Craft Stores",NA,NA,,NA,NA,"Arts, Entertainment & Nightlife Ystradgynlais,Arts & Crafts Ystradgynlais,Arts & Crafts Supplies & Shops Ystradgynlais,Arts, Entertainment & Nightlife,Arts & Crafts,Arts & Crafts Supplies & Shops",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/something-special-14611223.html
Valley Ironing,NA,NA,NA,NA,NA,NA,NA,"RAILWAY COTTAGE, NEATH ROAD ",SA9 1PR,Ystradgynlais ,Neath Port Talbot Wales,01639 849399,NA,01386 423135,NA,,NA,NA,"Ironing, Laundry Service","Services, Ironing & Home Laundry Services",NA,NA,,NA,NA,"Business & Professional Services Ystradgynlais,Laundry Services Ystradgynlais,Dry Cleaners & Laundry Service Ystradgynlais,Business & Professional Services,Laundry Services,Dry Cleaners & Laundry Service",,NA,Laundry,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/valley-ironing-15710600.html
Cyngor Cymuned Tawe Uchaf Community Council,NA,NA,NA,NA,NA,NA,NA,8 Maes Y Gorof ,SA9 1DA,Ystradgynlais ,Neath Port Talbot Wales,01639 843003,NA,07415 063455,NA,www.taweuchafcommunitycouncil.co.uk/taweuchaf-cc/default.aspx,NA,NA,NA,"Community Support, Community Council",NA,NA,,NA,NA,"Community & Government Ystradgynlais,Individual & Family Services Ystradgynlais,Counselling & Advice Services Ystradgynlais,Community & Government,Individual & Family Services,Counselling & Advice Services",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/cyngor-cymuned-tawe-uchaf-community-council-19666528.html
MCCORMACK PRICE LTD,MCCORMACK PRICE LTD,9471052,England/Wales,NA,69102 - Solicitors,4-Mar-15,Private Limited Company,Swn-Yr-Adar Neath Road ,SA9 1PR,Ystradgynlais ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,"Legal Services Ystradgynlais,Solicitors Ystradgynlais,Legal Services,Solicitors",,NA,Solicitors,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/mccormack-price-ltd-24746393.html
H.O.C. Food Machinery Limited,H.O.C. FOOD MACHINERY LIMITED,6533730,England/Wales,The Willows Willow Gardens Barrow upon Humber North Lincolnshire DN19 7SW,71129 - Other engineering activities,13-Mar-08,Private Limited Company,3 WOLSEY DRIVE ,DN19 7HH,Barrow-Upon-Humber ,Lincolnshire England,NA,NA,NA,NA,,NA,NA,NA,Engineering,NA,NA,,NA,NA,"Construction & Contractors Barrow-Upon-Humber,Engineering Barrow-Upon-Humber,Engineering Machine Services Barrow-Upon-Humber,Construction & Contractors,Engineering,Engineering Machine Services,Construction & Contractors,Architectural Services,Architects,Industry & Manufacturing,Metalwork,Sheet Metal Work,Construction & Contractors,Engineering,Engineers & Engineering Services",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://barrow-upon-humber.cylex-uk.co.uk/company/h-o-c--food-machinery-limited-22539146.html
K-play International,NA,GB-848018516,NA,NA,NA,NA,NA,Walk House Farm ,DN19 7DZ,Barrow-Upon-Humber ,Lincolnshire England,01469 640460,NA,0800 033 7184,NA,k-playinternational.co.uk,NA,NA,NA,NA,NA,NA,,NA,NA,,,"https://www.facebook.com/kplayinternational/,https://www.linkedin.com/company/11237799/",NA,09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://barrow-upon-humber.cylex-uk.co.uk/company/k-play-international-26827801.html
Control Room Services Limited,CONTROL ROOM SERVICES LIMITED,6913363,England/Wales,NA,96090 - Other service activities not elsewhere classified,22-May-09,Private Limited Company,"STABLE YARD, WALK HOUSE FARM ",DN19 7DZ,Barrow-Upon-Humber ,Lincolnshire England,0113 270 4520,NA,NA,NA,,NA,NA,NA,"Personal Services, Business Support Services",NA,NA,,NA,NA,"Community & Government Barrow-Upon-Humber,Charities & Voluntary Organisations Barrow-Upon-Humber,Construction & Contractors,Cleaning Services,Carpet Cleaners,Community & Government,Charities & Voluntary Organisations",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://barrow-upon-humber.cylex-uk.co.uk/company/control-room-services-limited-22407925.html
TB Rubbish Removals,NA,NA,NA,NA,NA,NA,NA,"Unit 7B, Galaxy Business Park",NE21 4SQ,Blaydon-On-Tyne ,Tyne and Wear England,07923 422072,NA,NA,NA,https://www.tbgardenservices.co.uk/,NA,NA,NA,Soil Testing,NA,NA,,NA,NA,"Community & Government Blaydon-On-Tyne,Waste Management Blaydon-On-Tyne,Waste & Rubbish Collection Blaydon-On-Tyne,Community & Government,Waste Management,Waste & Rubbish Collection,Agriculture & Forestry,Agricultural Services,Soil Preparation Services,Home & Garden,Landscapers",Cash,"https://www.facebook.com/Tb-Rubbish-Removals-1946995818732235/,https://twitter.com/intent/user?screen_name=RubbishTb&original_referer=https%3a%2f%2fblaydon-on-tyne.cylex-uk.co.uk%2fcompany%2ftb-rubbish-removals-25849020.html","Garbage Dump Service, Landscaper, Soil Testing Service, Landscapers",08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,10:00 - 16:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,https://blaydon-on-tyne.cylex-uk.co.uk/company/tb-rubbish-removals-25849020.html
Bells Waste Disposal Ltd,NA,NA,NA,NA,NA,NA,NA,8 Addison Ind Est ,NE21 4TE,Blaydon-On-Tyne ,Tyne and Wear England,0191 274 1323,NA,NA,NA,https://www.bellswastedisposal.co.uk/?utm_source=yell&utm_medium=refferal&utm_campaign=yell,NA,NA,NA,NA,NA,NA,,NA,NA,"Community & Government Blaydon-On-Tyne,Waste Management Blaydon-On-Tyne,Waste & Rubbish Collection Blaydon-On-Tyne,Community & Government,Waste Management,Waste & Rubbish Collection,Home & Garden,Landscapers,Business & Professional Services,Removals & Relocation Services,Construction & Contractors,Construction Equipment","Cash,Maestro,MasterCard,Visa",https://www.facebook.com/pages/Bells-Waste-Disposal/166665604081441,"Garbage Dump Service, Landscaper, Moving Company, Construction Equipment Supplier, Landscapers",07:30 - 18:30,07:00 - 18:00,08:30 - 17:00,Closed,07:30 - 18:30,07:30 - 18:30,07:30 - 18:30,https://blaydon-on-tyne.cylex-uk.co.uk/company/bells-waste-disposal-ltd-23914671.html
J i Services,NA,NA,NA,NA,NA,NA,NA,175 Hallow Drive ,NE15 9PW,Newcastle Upon Tyne ,Tyne and Wear England,0191 264 1001,NA,NA,NA,,NA,NA,"Garden Maintenance, Gardening",NA,NA,NA,,NA,NA,"Home & Garden Newcastle Upon Tyne,Gardeners Newcastle Upon Tyne,Home & Garden,Gardeners,Home & Garden,Landscapers",,NA,Landscape Contractors,NA,NA,NA,NA,NA,NA,NA,https://newcastle-upon-tyne.cylex-uk.co.uk/company/j-i-services-16213209.html
wholetree,NA,NA,NA,NA,NA,NA,NA,"35, Runhead Estate ",NE40 3HS,Ryton ,Tyne and Wear England,0191 413 1993,NA,07808 470040,NA,wholetree.co.uk,NA,"Timber, Wood, Trees","Tree Surgery, Tree Work, Tree Care, Crown Reduction, Crown Lifting, Tree Survey, Crown Thinning, Decay Detection","Garden Centre, Tree Surgeons, Arboriculture, Contractors, Forest, Gateshead, Newcastle Upon Tyne, Tree Safety, Tyneside, Cable Bracing, Blaydon, North-East, Ryton, Coronet Pruning, Wholetree",NA,NA,Caink Richard,"0191 4131993,07808470040",NA,"Home & Garden Ryton,Arborists & Tree Surgeons Ryton,Construction & Contractors,Building Materials,Timber Merchants,Home & Garden,Arborists & Tree Surgeons,Home & Garden,Gardeners,Home & Garden,Plant Nurseries & Garden Centres,Home & Garden,Tree Services,Home & Garden,Landscapers",Cash,https://www.facebook.com/gatesheadtreesurgeon/,Landscape Company,08:30 - 18:00,08:30 - 18:00,Closed,Closed,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,https://ryton.cylex-uk.co.uk/company/wholetree-14575993.html
NORTHUMBRIAN TURF & LANDSCAPING,NA,NA,NA,NA,NA,NA,NA,"Horsely Water Treatment Works, Horsely ",NE15 0PA,Horsley ,Northumberland England,01661 852501,NA,07776 384650,NA,northumbrian-turf.co.uk,NA,NA,"dry-stone walling, garden maintenance, snow clearance, Landscaping, Tree Surgery, Drystone Walling",NA,NA,NA,,NA,NA,"Home & Garden Horsley,Gardeners Horsley,Home & Garden,Gardeners,Home & Garden,Arborists & Tree Surgeons,Home & Garden,Landscapers",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://horsley-northumberland.cylex-uk.co.uk/company/northumbrian-turf---landscaping-25837717.html
Chris Mowatt Landscaping Ltd,CHRIS MOWATT LANDSCAPING LTD,7901137,England/Wales,80a Front Street Prudhoe Northumberland NE42 5PU United Kingdom,81300 - Landscape service activities,9-Jan-12,Private Limited Company,76 FRONT STREET ,NE42 5PU,Prudhoe ,Northumberland England,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,"Home & Garden Prudhoe,Gardeners Prudhoe,Home & Garden,Gardeners,Home & Garden,Landscapers",,NA,Landscape Gardeners,NA,NA,NA,NA,NA,NA,NA,https://prudhoe.cylex-uk.co.uk/company/chris-mowatt-landscaping-ltd-21179312.html
LADYCROSS LANDSCAPING LIMITED,LADYCROSS LANDSCAPING LIMITED,8366406,England/Wales,NA,81300 - Landscape service activities,18-Jan-13,Private Limited Company,76 Front Street ,NE42 5PU,Prudhoe ,Northumberland England,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,"Home & Garden Prudhoe,Gardeners Prudhoe,Home & Garden,Gardeners,Home & Garden,Landscapers",,NA,Landscape Gardeners,NA,NA,NA,NA,NA,NA,NA,https://prudhoe.cylex-uk.co.uk/company/ladycross-landscaping-limited-24655637.html
Hagg Bank Community Ltd,HAGG BANK COMMUNITY LTD,3796659,England/Wales,05/05/2011 - HAGG BANK CAR PARKING MANAGEMENT COMPANY LIMITED,81300 - Landscape service activities,25-Jun-99,Private Limited Company,"THE NOOK, HAGG BANK ",NE41 8JU,Wylam ,Northumberland England,NA,NA,NA,NA,,NA,NA,Landscape Services,NA,NA,NA,,NA,NA,"Home & Garden Wylam,Gardeners Wylam,Home & Garden,Gardeners,Home & Garden,Landscapers",,NA,Landscape Gardeners,NA,NA,NA,NA,NA,NA,NA,https://wylam.cylex-uk.co.uk/company/hagg-bank-community-ltd-21409778.html
Mwa Arboriculture Limited,MWA ARBORICULTURE LIMITED,6882555,England/Wales,Unit 9 Horsley Business Centre Horsley Newcastle upon Tyne NE15 0NY,81300 - Landscape service activities,20-Apr-09,Private Limited Company,"WYLAM HILLS FARM, HOLEYN HALL ROAD ",NE41 8BA,Wylam ,Northumberland England,NA,NA,NA,NA,,NA,NA,Landscape Services,NA,NA,NA,,NA,NA,"Home & Garden Wylam,Gardeners Wylam,Home & Garden,Gardeners,Home & Garden,Landscapers",,NA,Landscape Gardeners,NA,NA,NA,NA,NA,NA,NA,https://wylam.cylex-uk.co.uk/company/mwa-arboriculture-limited-22701386.html
Grassbox Limited,GRASSBOX LIMITED,8158376,England/Wales,NA,81300 - Landscape service activities,26-Jul-12,Private Limited Company,27 Bluebell Close ,NE41 8EU,Wylam ,Northumberland England,0191 440 9898,NA,NA,NA,www.thegrassbox.co.uk,NA,NA,NA,NA,NA,NA,,NA,NA,"Home & Garden Wylam,Gardeners Wylam,Home & Garden,Gardeners,Home & Garden,Landscapers",,NA,Landscape Gardeners,NA,NA,NA,NA,NA,NA,NA,https://wylam.cylex-uk.co.uk/company/grassbox-limited-20427268.html
WAINWRIGHT'S OF WYLAM LTD,WAINWRIGHT'S OF WYLAM LTD,10679280,England/Wales,NA,71112 - Urban planning and landscape architectural activities,20-Mar-17,NA,Elm Bank Rd ,NE41 8HT,Wylam ,Northumberland England,07891 633085,NA,NA,NA,www.wainwrightsofwylam.co.uk,NA,NA,NA,"Landscape Architects, Town Planners",NA,NA,,NA,NA,"Home & Garden Wylam,Gardeners Wylam,Home & Garden,Gardeners,Home & Garden,Landscapers",,NA,Landscape Gardeners,NA,NA,NA,NA,NA,NA,NA,https://wylam.cylex-uk.co.uk/company/wainwright%27s-of-wylam-ltd-26076227.html
AB HSE Consultancy,NA,NA,NA,NA,NA,NA,NA,"1 Ystradfawr Villa , Station Road ",SA9 1NY,Ystradgynlais ,Neath Port Talbot Wales,07403 242575,NA,NA,NA,www.ab-hse.co.uk,NA,NA,NA,"Noise Survey, Risk Assessment, Site Inspections, Site Waste Management Plans",NA,NA,,NA,NA,"Business & Professional Services Ystradgynlais,Health & Safety Ystradgynlais,Health & Safety Consultants Ystradgynlais,Business & Professional Services,Health & Safety,Health & Safety Consultants,Construction & Contractors,Engineering,Acoustic Engineers & Consultants",,https://twitter.com/intent/user?screen_name=AB_Safety&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fab-hse-consultancy-19673093.html,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/ab-hse-consultancy-19673093.html
TEAMPROP - Roberts Homes,NA,NA,NA,NA,NA,NA,NA,18 Station Road ,SA9 1NT,Ystradgynlais ,Neath Port Talbot Wales,01639 842013,NA,NA,NA,www.teamprop.co.uk,NA,NA,Sales,Estate Agents,NA,NA,,NA,NA,"Real Estate Ystradgynlais,Real Estate Services Ystradgynlais,Best Estate Agents Ystradgynlais,Real Estate,Real Estate Services,Estate Agents",,https://www.facebook.com/robertshomesestateagents/about/,NA,09:00 - 17:00,09:00 - 17:00,09:00 - 12:00,Closed,09:00 - 17:00,10:00 - 17:00,09:00 - 17:00,https://ystradgynlais.cylex-uk.co.uk/company/teamprop---roberts-homes-25815248.html
Heronstone Lodges Limited,HERONSTONE LODGES LIMITED,6658407,England/Wales,NA,55201 - Holiday centres and villages,29-Jul-08,Private Limited Company,"Ystrad Isaf Farm, Station Road ",SA9 1PJ,Ystradgynlais ,Neath Port Talbot Wales,07974 914167,NA,NA,NA,heronstonelodges.co.uk,heronstonelodges@hotmail.co.uk,NA,NA,"Resorts, Non Smoking Rooms, Free Free public parking is possible on site reservation is not needed ., Free WiFi is Available in all Areas and is Free of Charge, Pets Are Not Allowed",NA,NA,,NA,"Pets are not allowed., Free! WiFi is available in all areas and is free of charge., Free! Free public parking is possible on site (reservation is not needed)., Heating, Non-smoking rooms","Travel & Tourism Ystradgynlais,Accommodation Ystradgynlais,Travel & Tourism,Accommodation,Hotels,Travel & Tourism,Accommodation",,https://www.facebook.com/heronstonelodges/about/,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/heronstone-lodges-limited-21430086.html
Huw Howells,NA,NA,NA,NA,NA,NA,NA,15 CWMTAWE ROAD ,SA9 1QU,Ystradgynlais ,Neath Port Talbot Wales,01639 844137,NA,NA,NA,,NA,Pianos,"piano tuning & repair, musical instrument tuning & repair, piano tuner, Piano Repair, Piano Tuning",NA,NA,NA,,NA,NA,"Arts, Entertainment & Nightlife Ystradgynlais,Music Shops Ystradgynlais,Arts, Entertainment & Nightlife,Music Shops","Cash,Cheque",NA,Piano Shops,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,https://ystradgynlais.cylex-uk.co.uk/company/huw-howells-15633080.html
Yr Ysgol,NA,NA,NA,NA,NA,NA,NA,Cwmgiedd,SA9 1LQ,Ystradgynlais ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/yr-ysgol-26185838.html
John Pearce Glynneath Ltd,JOHN PEARCE (GLYNNEATH) LIMITED,557971392,England/Wales,NA,96090 - Other service activities not elsewhere classified,28-Nov-91,NA,"Willowfield, Chain Walk, Glyneath",SA11 5ER,Glynneath ,Neath Port Talbot Wales,01639 720910,NA,01639 720951,NA,www.pearcetransport.com,NA,NA,"Next day pallet delivery groupage service ,  Same day/Next day full load dedicated vehicles ,  Same day /Next day part load deliveries ,  Same day panic deliveries ,  Three day Pallet delivery service ,  Warehousing, Stock Control and Stock Rotation","Personal Services, Road Haulage, Haulage, Road Freight, Road Haulage Contractors, Road Haulage Transport, Road Transport, Freight Forwarding, Haulage Contractors, Transportation & Logistics, Road Haulage Companies, Warehousing, Logistics, Transport & Logistics, Next Day Pallet Delivery Groupage Service, Same Day /Next Day Part Load Deliveries, Same Day Panic Deliveries, Same Day/Next Day Full Load Dedicated Vehicles, Stock Control and Stock Rotation, Three Day Pallet Delivery Service",NA,NA,,NA,NA,"Business & Professional Services Glynneath,Personal Services Glynneath,Transportation,Ground Transportation,Road Haulage & Freight Forwarding,Business & Professional Services,Personal Services",,https://twitter.com/intent/user?screen_name=pearcetransport&original_referer=https%3a%2f%2fglynneath.cylex-uk.co.uk%2fcompany%2fjohn-pearce-glynneath-ltd-12985081.html,NA,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,https://glynneath.cylex-uk.co.uk/company/john-pearce-glynneath-ltd-12985081.html
R & r Jones,NA,NA,NA,NA,NA,NA,NA,"Llwynbedw Farm, Cwmgiedd ",SA9 1LX,Ystradgynlais ,Neath Port Talbot Wales,01639 843701,NA,NA,NA,,NA,NA,NA,"Farming, Livestock, Animal Farming, Farmers, Livestock Farming, Animal Husbandry, Farming Livestock and Other Animals",NA,NA,,NA,NA,"Agriculture & Forestry Ystradgynlais,Farming Ystradgynlais,Farms Ystradgynlais,Agriculture & Forestry,Farming,Farms",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/r---r-jones-15678701.html
